train_seed,A1_forward,A2_omni,B1_rough,B2_stairs,C2_gap,mean_over_eval_tasks
A1_forward_s0,0.002930,0.059339,0.605854,0.235352,0.079812,0.196657
A1_forward_s1,0.004883,0.227539,0.750977,0.983398,0.280273,0.449414
A1_forward_s2,0.032195,0.180189,0.660156,0.998049,0.421875,0.458493
A2_omni_s0,0.102733,0.011719,0.797852,0.818359,0.326172,0.411367
A2_omni_s1,0.000000,0.023415,0.869141,0.035054,0.454102,0.276342
A2_omni_s2,0.005859,0.037901,0.862439,0.903415,0.261719,0.414267
B1_rough_s0,0.000000,0.015610,0.050534,0.875000,0.333008,0.254830
B1_rough_s1,0.000000,0.016602,0.025366,0.904297,0.263672,0.241987
B1_rough_s2,0.000000,0.017578,0.020468,0.886719,0.234375,0.231828
B2_stairs_s0,0.057449,0.442383,0.342773,0.000000,0.292027,0.226926
B2_stairs_s1,0.172852,0.419922,0.353113,0.000000,0.303711,0.249919
B2_stairs_s2,0.001953,0.367188,0.341797,0.000977,0.225586,0.187500
C2_gap_s0,0.008789,0.654634,0.737305,0.877930,0.142578,0.484247
C2_gap_s1,0.033948,0.778320,0.807617,0.832031,0.032164,0.496816
C2_gap_s2,0.009756,0.607422,0.708008,0.964878,0.113010,0.480615
