train_seed,A1_forward,A2_omni,B1_rough,B2_stairs,C2_gap
A1_forward_s0,0.997070,0.005837,0.000976,0.000000,0.140845
A1_forward_s1,0.995117,0.004883,0.000000,0.000000,0.129883
A1_forward_s2,0.967805,0.008491,0.000000,0.000000,0.208008
A2_omni_s0,0.893497,0.984375,0.133789,0.000000,0.157227
A2_omni_s1,0.989258,0.960000,0.057617,0.000000,0.132812
A2_omni_s2,0.989258,0.951409,0.084878,0.000000,0.159180
B1_rough_s0,1.000000,0.979512,0.947522,0.083008,0.314453
B1_rough_s1,1.000000,0.983398,0.972683,0.092773,0.313477
B1_rough_s2,1.000000,0.982422,0.977583,0.075195,0.337891
B2_stairs_s0,0.942551,0.004883,0.001953,1.000000,0.356388
B2_stairs_s1,0.827148,0.003906,0.001946,1.000000,0.285156
B2_stairs_s2,0.998047,0.005859,0.006836,0.999023,0.353516
C2_gap_s0,0.991211,0.099512,0.058594,0.070312,0.856445
C2_gap_s1,0.966052,0.064453,0.046875,0.074219,0.965887
C2_gap_s2,0.989268,0.060547,0.014648,0.000000,0.875594
